Movie Name,Poster Image Link,Synopsis,Genre,IMDb_id,Plot Keywords,Storyline,Genre Variations
Big Fish,"https://m.media-amazon.com/images/M/MV5BMTYyMzM3MzgyNV5BMl5BanBnXkFtZTcwMTI4MzUyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",    A frustrated son tries to determine the fact from fiction in his dying father's life.,Adventure,tt0319061,fish father son relationship death of father flashback growing up ,"    United Press International journalist Will Bloom and his French freelance photojournalist wife Josephine Bloom, who is pregnant with their first child, leave their Paris base to return to Will's hometown of Ashton, Alabama on the news that his father, Edward Bloom, stricken with cancer, will soon die, he being taken off chemotherapy treatment. Although connected indirectly through Will's mother/Edward's wife, Sandra Bloom, Will has been estranged from his father for three years since his and Josephine's wedding. Will's issue with his father is the fanciful tales Edward has told of his life all his life, not only to Will but the whole world. As a child when Edward was largely absent as a traveling salesman, Will believed those stories, but now realizes that he does not know his father, who, as he continues to tell these stories, he will never get to know unless Edward comes clean with the truth before he dies. On the brink of his own family life beginning, Will does not want to be the ...",Adventure Drama Fantasy 
Scott Pilgrim vs. the World,"https://m.media-amazon.com/images/M/MV5BMTkwNTczNTMyOF5BMl5BanBnXkFtZTcwNzUxOTUyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",    Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,Action,tt0446029,toronto canada sexy woman cleavage panties scantily clad female ,"    Scott Pilgrim plays in a band which aspires to success. He dates Knives Chau, a high-school girl five years younger, and he hasn't recovered from being dumped by his former girlfriend, now a success with her own band. When Scott falls for Ramona Flowers, he has trouble breaking up with Knives and tries to romance Ramona. As if juggling two women wasn't enough, Ramona comes with baggage: seven ex-lovers, with each of whom Scott must do battle to the death in order to win Ramona.",Action Comedy Fantasy 
The Paleface,"https://m.media-amazon.com/images/M/MV5BOGZhMGEwZjYtNjJlNC00YjY0LTg2YjQtNGU4MmM1OTNjYmMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ1MTUzODc@._V1_UX140_CR0,0,140,209_AL_.jpg","    Calamity Jane is despatched to find out who's smuggling rifles to the Indians, and winds up married to a hapless correspondence school dentist as part of her cover.",Western,tt0040679,comedy of errors misunderstanding punched in the face marriage horse and wagon ,"    Someone is selling guns to the Indians and in order to find the culprit Calamity Jane and a secret agent go undercover posing as man and wife. When the agent is killed Jane recruits a new husband -- none other than innocent dupe ""Painless"" Peter Potter, a totally inept dentist and confirmed coward who's main goal is to leave the barbaric west far behind. When their wagon train is attacked by the Indians it's Jane's sharpshooting that saves the day, but she gives the credit to Potter making him an instant hero to the townspeople and instant target to both the Indians and the gunrunners.",Comedy Family Western 
How the West Was Won,"https://m.media-amazon.com/images/M/MV5BNTk2NDk1NjY0MV5BMl5BanBnXkFtZTgwMzkzNTcxMTE@._V1_UX140_CR0,0,140,209_AL_.jpg","    A family saga covering several decades of Westward expansion in the nineteenth century - including the Gold Rush, the Civil War, and the building of the railroads.",Western,tt0056085,ulysses s. grant character abraham lincoln character national film registry arizona territory arizona desert ,"    Setting off on a journey to the west in the 1830s, the Prescott family run into a man named Linus, who helps them fight off a pack of thieves. Linus then marries daughter Eve Prescott (Carroll Baker), and 30 years later goes off to fight in the Civil War with their son, with bloody results. Eve's sister, Lily, heads farther west and has adventures with a professional gambler, stretching all the way to San Francisco and into the 1880s.",Western 
The Butterfly Effect,"https://m.media-amazon.com/images/M/MV5BODNiZmY2MWUtMjFhMy00ZmM2LTg2MjYtNWY1OTY5NGU2MjdjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR2,0,140,209_AL_.jpg","    Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Sci-Fi,tt0289879,love butterfly effect child pornography time travel surprise ending ,"    Evan Treborn grows up in a small town with his single, working mother and his friends. He suffers from memory blackouts where he suddenly finds himself somewhere else, confused. Evan's friends and mother hardly believe him, thinking he makes it up just to get out of trouble. As Evan grows up he has fewer of these blackouts until he seems to have recovered. Since the age of seven he has written a diary of his blackout moments so he can remember what happens. One day at college he starts to read one of his old diaries, and suddenly a flashback hits him like a brick!",Drama Sci-Fi Thriller 
Mrs. Doubtfire,"https://m.media-amazon.com/images/M/MV5BMjExMDUzODE1N15BMl5BanBnXkFtZTgwNTU5NTYxMTE@._V1_UY209_CR0,0,140,209_AL_.jpg","    After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",Comedy,tt0107614,male actor playing a female character profanity birthday divorce birthday party ,"    Eccentric actor Daniel Hillard is an amusing and caring father. But after a disastrous birthday party for his son, Daniel's wife Miranda draws the line and files a divorce. He can see his three children only once a week which doesn't sit well with him. Daniel also holds a job at a TV studio as a shipping clerk under the recommendation of his liason. But when Miranda puts out an ad for a housekeeper, Daniel takes it upon himself to make a disguise as a Scottish lady named Mrs Doubtfire. And Daniel must also deal with Miranda's new boyfriend Stu Dunemyer.",Comedy Drama Family 
Indiana Jones and the Last Crusade,"https://m.media-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY209_CR1,0,140,209_AL_.jpg","    In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against Adolf Hitler's Nazis again to stop them obtaining its powers.",Adventure,tt0097576,holy grail map leap of faith obsession adolf hitler character ,"    An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist has disappeared while searching for the precious goblet, and the missing man is his own father, Dr. Henry Jones. The artifact is much harder to find than they expected, and its powers are too much for those impure in heart.",Action Adventure 
The Curious Case of Benjamin Button,"https://m.media-amazon.com/images/M/MV5BNjQ0NTY2ODY2M15BMl5BanBnXkFtZTgwMjE4MzkxMDE@._V1_UY209_CR0,0,140,209_AL_.jpg","    Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",Romance,tt0421715,premature aging deformed baby older man younger woman relationship medical condition theodore roosevelt character ,"    On the day that Hurricane Katrina hits New Orleans, elderly Daisy Williams (nee Fuller) is on her deathbed in a New Orleans hospital. At her side is her adult daughter, Caroline. Daisy asks Caroline to read to her aloud the diary of Daisy's lifelong friend, Benjamin Button. Benjamin's diary recounts his entire extraordinary life, the primary unusual aspect of which was his aging backwards, being diagnosed with several aging diseases at birth and thus given little chance of survival, but who does survive and gets younger with time. Abandoned by his biological father, Thomas Button, after Benjamin's biological mother died in childbirth, Benjamin was raised by Queenie, a black woman and caregiver at a seniors home. Daisy's grandmother was a resident at that home, which is where she first met Benjamin. Although separated through the years, Daisy and Benjamin remain in contact throughout their lives, reconnecting in their forties when in age they finally match up. Some of the revelations ...",Drama Fantasy Romance 
Allied,"https://m.media-amazon.com/images/M/MV5BZWEyMzg4ZWUtYmZhMC00Yjk2LWEyYjktODVmN2M3YTA2ZmNjXkEyXkFqcGdeQXVyNjQ2Mjg3OTI@._V1_UX140_CR0,0,140,209_AL_.jpg","    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",War,tt3640424,nazi spy suicide french german spy ,"    In the middle of World War II, in turbulent 1942, the fearless Wing Commander, Max Vatan, lands on the desert dunes of Morocco to meet with the skillful Parisian member of the French Resistance, Marianne Beauséjour. After a suicide mission in the heart of Casablanca, Max and Marianne will flee to England with plans on making a family; however, heavy clouds of distrust and suspicion will burden their relationship, when Max receives a shocking call from the Secret Service Division. In disbelief, with a terrible task in his hands and crushed under a devastating dilemma, Max must find the courage to seek answers in the perilous streets of a bombarded London, regardless of the outcome. In the end, amid duty and love, who shall live and who shall die?",Action Drama Romance 
Paradise Now,"https://m.media-amazon.com/images/M/MV5BNDI5ODQxNTUxMV5BMl5BanBnXkFtZTcwMTgzMDEzMQ@@._V1_UY209_CR1,0,140,209_AL_.jpg",    Two childhood friends are recruited for a suicide bombing in Tel Aviv.,War,tt0445620,martyr settler friend betrayal fate ,"    Palestinians Said and Khaled, now in young adulthood, have been lifelong friends living in Nablus in the West Bank. They have both had what they consider a difficult life, now working side-by-side in unfulfilling jobs as auto mechanics in a small garage, being unfulfilling as difficult as the jobs were to get. Those difficult lives includes feeling like they are prisoners in the West Bank, Said who has only left the region once on a medical issue when he was six. They blame all their problems on the oppression by the Israelis. As such, they have volunteered and have been accepted by a Palestinian resistance group to carry out a suicide bombing mission in Tel Aviv: after the initial response to the first bomb, the second bomb would be detonated at the same site. Following the bombing, the resistance group would release pre-taped video messages of Said and Khaled confessing to the bombing in the name of God. The mission would require Said and Khaled to cross ""illegally"" into Israel. ...",Crime Drama Thriller 
